,Episode,Batch Size,fc1,fc2,Max Reward,Mean Reward,Mean Episode Train Time (s)
0,10,64,256,128,0.10000000149011612,0.010000000149011612,0.13819961547851561
1,20,64,256,128,0.0,0.014500000234693288,0.3766084909439087
2,30,64,256,128,0.0,0.00966666682312886,0.27808847427368166
3,40,64,256,128,0.0,0.009500000160187483,0.31814334392547605
4,50,64,256,128,0.0,0.007600000128149986,0.28618450164794923
5,60,64,256,128,0.0,0.011000000188748043,0.38452203273773194
6,70,64,256,128,0.0,0.010857143040214266,0.32741827964782716
7,80,64,256,128,0.0,0.012000000197440385,0.34825835227966306
8,90,64,256,128,0.0,0.016000000263253846,0.5419370889663696
9,100,64,256,128,0.0,0.024100000392645596,0.714587950706482
10,110,64,256,128,0.10000000149011612,0.02790000045672059,0.6450843095779419
11,120,64,256,128,0.09000000171363354,0.029600000493228435,0.41435129642486573
12,130,64,256,128,0.09000000171363354,0.034300000574439764,0.4352045297622681
13,140,64,256,128,0.10000000149011612,0.039000000655651096,0.47597105503082277
14,150,64,256,128,0.10000000149011612,0.04090000068768859,0.35683796405792234
15,160,64,256,128,0.09000000171363354,0.04100000068545342,0.40622997283935547
16,170,64,256,128,0.0,0.042700000721961257,0.380222749710083
17,180,64,256,128,0.0,0.045400000773370267,0.4468999862670898
18,190,64,256,128,0.10000000149011612,0.048200000822544095,0.5409310579299926
19,200,64,256,128,0.10000000149011612,0.04810000082477927,0.7014529943466187
20,210,64,256,128,0.0,0.048200000822544095,0.5568912744522094
21,220,64,256,128,0.10000000149011612,0.05540000092238188,0.8329943418502808
22,230,64,256,128,0.10000000149011612,0.060400000996887686,0.7981185197830201
23,240,64,256,128,0.0,0.061800001002848146,0.6806959867477417
24,250,64,256,128,0.10000000149011612,0.0689000011049211,0.7912297248840332
25,260,64,256,128,0.10000000149011612,0.07100000113248825,0.559638524055481
26,270,64,256,128,0.10000000149011612,0.07520000118762254,0.5412081241607666
27,280,64,256,128,0.10000000149011612,0.0823000012896955,0.7680063962936401
28,290,64,256,128,0.0,0.08060000125318766,0.6076195001602173
29,300,64,256,128,0.0,0.07590000117197633,0.5632638692855835
30,310,64,256,128,0.0,0.07400000113993883,0.39414451122283933
31,320,64,256,128,0.0,0.06820000104606151,0.5002832651138306
32,330,64,256,128,0.0,0.06450000097975135,0.6156388044357299
33,340,64,256,128,0.0,0.06550000099465252,0.7954437494277954
34,350,64,256,128,0.10000000149011612,0.06550000099465252,0.7520595550537109
35,360,64,256,128,0.10000000149011612,0.06950000105425716,0.6738706588745117
36,370,64,256,128,0.10000000149011612,0.07050000106915831,0.6743704795837402
37,380,64,256,128,0.10000000149011612,0.06730000102892518,0.6633683204650879
38,390,64,256,128,0.20000000298023224,0.07530000114813447,1.2101077079772948
39,400,64,256,128,0.30000000447034836,0.08430000128224492,1.0943684577941895
40,410,64,256,128,0.10000000149011612,0.0903000013716519,0.873442006111145
41,420,64,256,128,0.10000000149011612,0.09530000144615769,0.9087816953659058
42,430,64,256,128,0.10000000149011612,0.09730000147596002,0.7752017498016357
43,440,64,256,128,0.10000000149011612,0.10320000156760216,1.1919242143630981
44,450,64,256,128,0.10000000149011612,0.10810000164434314,1.165681576728821
45,460,64,256,128,0.10000000149011612,0.10990000167861581,0.8767742395401001
46,470,64,256,128,0.7000000104308128,0.11990000182762742,1.4521090984344482
47,480,64,256,128,0.30000000447034836,0.12230000184848905,0.9131539583206176
48,490,64,256,128,0.10000000149011612,0.11820000179111957,0.8638833522796631
49,500,64,256,128,0.20000000298023224,0.11710000177845359,1.0601561069488525
50,510,64,256,128,0.20000000298023224,0.11810000179335475,0.8773255348205566
51,520,64,256,128,0.10000000149011612,0.13600000206381083,2.1638318300247192
52,530,64,256,128,0.20000000298023224,0.1799000027216971,4.159143590927124
53,540,64,256,128,0.0,0.1810000027343631,1.2435648918151856
54,550,64,256,128,0.10000000149011612,0.1731000026129186,0.48740015029907224
55,560,64,256,128,0.0,0.1753000026382506,1.0394455909729003
56,570,64,256,128,0.0,0.16630000250414015,0.7322813749313355
57,580,64,256,128,0.0,0.16720000252127648,0.9694061279296875
58,590,64,256,128,0.09000000171363354,0.1723000025935471,1.1919286489486693
59,600,64,256,128,0.2900000046938658,0.18500000279396772,2.1498230934143066
