,Episode,Batch Size,fc1,fc2,Max Reward,Mean Reward,Mean Episode Train Time (s)
0,10,128,128,64,0.0,0.0,0.12033519744873047
1,20,128,128,64,0.0,0.0,0.38782927989959715
2,30,128,128,64,0.0,0.0,0.35331225395202637
3,40,128,128,64,0.0,0.0,0.38368775844573977
4,50,128,128,64,0.0,0.0,0.35083942413330077
5,60,128,128,64,0.0,0.001500000028560559,0.3966368675231934
6,70,128,128,64,0.0,0.001285714310194765,0.3487004041671753
7,80,128,128,64,0.0,0.0011250000214204192,0.3511265516281128
8,90,128,128,64,0.0,0.0010000000190403726,0.3622365236282349
9,100,128,128,64,0.0,0.0009000000171363354,0.35529801845550535
10,110,128,128,64,0.0,0.0009000000171363354,0.36651756763458254
11,120,128,128,64,0.0,0.0009000000171363354,0.35524654388427734
12,130,128,128,64,0.0,0.0009000000171363354,0.3554938316345215
13,140,128,128,64,0.0,0.0009000000171363354,0.35899553298950193
14,150,128,128,64,0.0,0.0009000000171363354,0.355373215675354
15,160,128,128,64,0.0,0.0,0.34385731220245364
16,170,128,128,64,0.0,0.0,0.35140433311462405
17,180,128,128,64,0.0,0.0,0.3673926115036011
18,190,128,128,64,0.0,0.0,0.3565023183822632
19,200,128,128,64,0.0,0.0,0.3550639867782593
20,210,128,128,64,0.0,0.0,0.35294008255004883
21,220,128,128,64,0.0,0.0,0.3436422824859619
22,230,128,128,64,0.0,0.0,0.35132675170898436
23,240,128,128,64,0.0,0.0,0.3586527109146118
24,250,128,128,64,0.10000000149011612,0.0020000000298023225,0.4893321514129639
25,260,128,128,64,0.0,0.0020000000298023225,0.38429076671600343
26,270,128,128,64,0.0,0.0020000000298023225,0.39203462600708006
27,280,128,128,64,0.0,0.0020000000298023225,0.3747056245803833
28,290,128,128,64,0.0,0.0020000000298023225,0.3658674955368042
29,300,128,128,64,0.0,0.0030000000447034836,0.5486545562744141
30,310,128,128,64,0.0,0.0030000000447034836,0.3908681869506836
31,320,128,128,64,0.0,0.005000000074505806,0.5204243898391724
32,330,128,128,64,0.0,0.006000000089406967,0.4513334989547729
33,340,128,128,64,0.0,0.007000000104308128,0.48764808177948
34,350,128,128,64,0.10000000149011612,0.006000000089406967,0.48260817527770994
35,360,128,128,64,0.0,0.006000000089406967,0.41221044063568113
36,370,128,128,64,0.10000000149011612,0.007000000104308128,0.4674491882324219
37,380,128,128,64,0.20000000298023224,0.009000000134110451,0.5608011484146118
38,390,128,128,64,0.0,0.009000000134110451,0.3932020664215088
39,400,128,128,64,0.10000000149011612,0.012000000178813934,0.7587693691253662
40,410,128,128,64,0.0,0.014000000208616257,0.4820254325866699
41,420,128,128,64,0.0,0.017900000270456077,0.8041043996810913
42,430,128,128,64,0.0,0.019800000302493573,0.5327943086624145
43,440,128,128,64,0.0,0.018800000287592412,0.3893204927444458
44,450,128,128,64,0.0,0.01780000027269125,0.3625391721725464
45,460,128,128,64,0.10000000149011612,0.022800000347197057,0.8170092821121215
46,470,128,128,64,0.0,0.02480000037699938,0.5135397434234619
47,480,128,128,64,0.09000000171363354,0.02560000039637089,0.5142308235168457
48,490,128,128,64,0.0,0.02660000041127205,0.40611703395843507
49,500,128,128,64,0.0,0.022600000351667406,0.3562654733657837
50,510,128,128,64,0.0,0.020600000321865083,0.38710689544677734
51,520,128,128,64,0.0,0.014700000230222941,0.4108342170715332
52,530,128,128,64,0.0,0.012800000198185444,0.4585559606552124
53,540,128,128,64,0.0,0.012800000198185444,0.41550164222717284
54,550,128,128,64,0.0,0.012800000198185444,0.3885307312011719
55,560,128,128,64,0.0,0.007800000123679638,0.3876646041870117
56,570,128,128,64,0.0,0.004800000078976154,0.3970234155654907
57,580,128,128,64,0.0,0.0020000000298023225,0.37472727298736574
58,590,128,128,64,0.0,0.004000000059604645,0.6168807983398438
59,600,128,128,64,0.0,0.004000000059604645,0.3909233808517456
